раздел,счетоводен_ред,Q1 2022 (3М),Q2 2022 (6М),Q3 2022 (9М),Q4 2022 (12М),Q1 2023 (3М),Q2 2023 (6М),Q3 2023 (9М),Q4 2023 (12М),Q1 2024 (3М),Q2 2024 (6М),Q3 2024 (9М),Q4 2024 (12М),Q1 2025 (3М),Q2 2025 (6М),Q3 2025 (9М),Q4 2025 (12М),Q1 2026 (3М),Q2 2026 (6М),Q3 2026 (9М),Q4 2026 (12М)
Приходи и разходи,Приходи от продажби,43500,87750,134250,179208,121296,231624,351519,513387,159001,305195,458343,662334,220383,431086,646435,934767,307876,,,
Приходи и разходи,Себестойност на продажбите,-26100,-52650,-80550,-106377,-52920,-99944,-156560,-234344,-76509,-144611,-215751,-307310,-106592,-207724,-309898,-441183,-136062,,,
Приходи и разходи,Брутна печалба,17400,35100,53700,72831,68376,131680,194959,279043,82492,160584,242592,355024,113791,223362,336537,493584,171814,,,
Приходи и разходи,Други приходи от дейността,,,,,23156,47304,68203,96566,27964,57809,84244,114094,35979,73916,107536,148266,56296,,,
Приходи и разходи,Разходи за продажби,-3525,-7125,-10950,-14652,-21167,-44550,-62711,-87463,-19964,-40744,-58514,-83121,-23724,-52548,-76936,-113465,-37779,,,
Приходи и разходи,Административни разходи,-5875,-11875,-18150,-24129,-39808,-81025,-123920,-163979,-42728,-86563,-131754,-176070,-46745,-95345,-148274,-199965,-55107,,,
Приходи и разходи,Други разходи за дейността,,,,,-14457,-29361,-46336,-64647,-18239,-36656,-56089,-75409,-22200,-44900,-69305,-98694,-28456,,,
Приходи и разходи,Печалба от оперативна дейност (EBIT),8000,16100,24600,26050,16100,24047,30195,59520,29524,54430,80480,134518,57100,104484,149558,229727,106767,,,
Приходи и разходи,Финансови приходи,38,75,113,150,0,0,0,0,0,0,0,0,12,0,0,59,289,,,
Приходи и разходи,Финансови разходи,-338,-663,-988,-1313,-298,-1007,-1503,-2126,-852,-1561,-1901,-2200,-354,-754,-1202,-1874,-919,,,
Приходи и разходи,Дял от печалбата на асоциирани дружества,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
