раздел,счетоводен_ред,Q1 2022 (3М),Q2 2022 (6М),Q3 2022 (9М),Q4 2022 (12М),Q1 2023 (3М),Q2 2023 (6М),Q3 2023 (9М),Q4 2023 (12М),Q1 2024 (3М),Q2 2024 (6М),Q3 2024 (9М),Q4 2024 (12М),Q1 2025 (3М),Q2 2025 (6М),Q3 2025 (9М),Q4 2025 (12М),Q1 2026 (3М),Q2 2026 (6М),Q3 2026 (9М),Q4 2026 (12М)
Приходи и разходи,Приходи от продажби,43500,87750,134250,179208,54578,110527,169431,228536,63883,129881,199579,268908,81418,165519,252876,336571,92093,,,
Приходи и разходи,Себестойност на продажбите,-26100,-52650,-80550,-106377,-33345,-66205,-100833,-135583,-38430,-77036,-117377,-155506,-47936,-98206,-149089,-195753,-54095,,,
Приходи и разходи,Брутна печалба,17400,35100,53700,72831,21233,44322,68598,92953,25453,52845,82202,113402,33482,67313,103787,140818,37998,,,
Приходи и разходи,Други приходи от дейността,,,,,,,,,,,,,,,,,,,,
Приходи и разходи,Разходи за продажби,-3525,-7125,-10950,-14652,-4607,-9227,-14107,-18924,-5679,-11519,-17539,-23610,-7164,-14530,-21939,-29406,-8829,,,
Приходи и разходи,Административни разходи,-5875,-11875,-18150,-24129,-7373,-14773,-22443,-30024,-8866,-18008,-27536,-37176,-11362,-22919,-34095,-45478,-13798,,,
Приходи и разходи,Други разходи за дейността,,,,,,,,,,,,,,,,,,,,
Приходи и разходи,Печалба от оперативна дейност (EBIT),8000,16100,24600,26050,9253,20322,32048,34005,10908,23318,37127,42616,14956,29864,44753,59417,15371,,,
Приходи и разходи,Финансови приходи,38,75,113,150,105,210,315,419,192,385,579,773,343,689,1035,1379,579,,,
Приходи и разходи,Финансови разходи,-338,-663,-988,-1313,-473,-945,-1422,-1892,-603,-1206,-1814,-2431,-756,-1511,-2246,-3012,-1015,,,
Приходи и разходи,Дял от печалбата на асоциирани дружества,,,,,,,,,,,,,,,,,,,,
Приходи и разходи,Печалба преди данъци (EBT),7700,15512,23725,24887,8885,19587,30941,32532,10497,22497,35892,40958,14543,29042,43542,57784,14935,,,
Приходи и разходи,Разход за данъци,-1694,-3412,-5218,-5579,-1943,-4287,-6765,-7210,-2427,-5197,-8298,-9862,-3175,-6349,-9534,-12644,-3271,,,
Приходи и разходи,Нетна печалба от продължаващи дейности,,,,,,,,,,,,,,,,,,,,
Приходи и разходи,Печалба от преустановени дейности,,,,,,,,,,,,,,,,,,,,
Приходи и разходи,Нетна печалба,6006,12100,18507,19308,6942,15300,24176,25322,8070,17300,27594,31096,11368,22693,34008,45140,11664,,,
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,,,,,,,,,,,,,,,,,,,,
Приходи и разходи,Общо всеобхватен доход,,,,,,,,,,,,,,,,,,,,
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",0.56,1.13,1.73,1.8,0.65,1.43,2.26,2.37,0.72,1.55,2.47,2.78,1.02,2.03,3.04,4.04,1.04,,,
Активи,"Имоти, машини и съоръжения",,,,,,,,,,,,,,,,,,,,
Активи,Нематериални активи,,,,,,,,,,,,,,,,,,,,
Активи,Активи с право на ползване,,,,,,,,,,,,,,,,,,,,
Активи,Репутация,,,,,,,,,,,,,,,,,,,,
Активи,Инвестиции в асоциирани дружества,,,,,,,,,,,,,,,,,,,,
Активи,Активи по отсрочени данъци,,,,,,,,,,,,,,,,,,,,
Активи,Общо нетекущи активи,22050,22050,22050,24675,24675,24675,24675,28561,28561,28561,28561,30685,53305,53305,53305,52657,55417,,,
Активи,Материални запаси,10455,12075,13950,15590,14145,16105,18395,20865,20625,22095,23895,25595,27255,28835,31377,32232,28413,,,
Активи,Търговски вземания,21225,24825,28725,31515,27645,31530,35070,37605,37545,39665,41855,43377,45375,47127,50310,49299,42976,,,
Активи,Други вземания,1155,1325,1475,1650,1625,1765,1885,2005,1945,2095,2245,2395,2565,2695,2860,2879,2765,,,
Активи,Пари и парични еквиваленти,1130,10730,10730,10730,5215,10730,10730,13230,5215,13230,13230,20899,20899,22413,25109,27783,38869,,,
Активи,Общо текущи активи,33965,49080,54880,63590,48630,60130,66080,73705,65330,77085,81225,92266,96094,101070,109656,112193,113023,,,
Активи,ОБЩО АКТИВИ,56015,71130,76930,88265,73305,84805,90755,102266,93891,105646,109786,122951,149399,154375,162961,164850,168440,,,
Пасиви,Задължения по лизинг (дългосрочни),4475,4475,4475,4475,4475,4475,4475,5247,5247,5247,5247,6012,8417,8096,7764,7432,7102,,,
Пасиви,Дългосрочни задължения към персонала,,,,,,,,,,,,,,,,,,,,
Пасиви,Общо нетекущи пасиви,4475,4475,4475,4475,4475,4475,4475,5247,5247,5247,5247,6012,8417,8096,7764,7432,7102,,,
Пасиви,Банкови заеми,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,,,
Пасиви,Задължения по лизинг (краткосрочни),,,,,,,,,,,,,,,,,,,,
Пасиви,Търговски задължения,8085,9450,10830,12075,9570,11115,12660,14075,13785,15195,16590,18115,19808,21125,23310,25312,24417,,,
Пасиви,Задължения към персонала и осигуряването,,,,,,,,,,,,,,,,,,,,
Пасиви,Други задължения,3565,3955,4225,4605,3700,4005,4310,4694,4691,5084,5477,6192,6624,7104,7828,8202,7486,,,
Пасиви,Общо текущи пасиви,11950,13705,15355,16680,13570,15420,17270,19069,18776,20579,22367,24607,26732,28529,31438,33814,32203,,,
Пасиви,ОБЩО ПАСИВИ,16425,18180,19830,21155,18045,19895,21745,24316,24023,25826,27614,30619,35149,36625,39202,41246,39305,,,
Собствен капитал,Регистриран акционерен капитал,5978,5978,5978,5978,5978,5978,5978,5978,5978,5978,5978,5978,,,,,,,,
Собствен капитал,Неразпределена печалба,33612,46972,51122,61132,49282,58932,63032,71972,63890,73842,76194,86354,96582,98092,109081,108926,114457,,,
Собствен капитал,Законови резерви,,,,,,,,,,,,,,,,,,,,
Собствен капитал,Премиен резерв,,,,,,,,,,,,,,,,,,,,
Собствен капитал,Валутно-курсови разлики,,,,,,,,,,,,,,,,,,,,
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,39590,52950,57100,67110,55260,64910,69010,77950,69868,79820,82172,92332,114250,117750,123759,123604,129135,,,
Парични потоци,Постъпления от клиенти,,,,,,,,,,,,,,,,,,,,
Парични потоци,Плащания към доставчици,,,,,,,,,,,,,,,,,,,,
