раздел,счетоводен_ред,Q1 2021 (3М),Q2 2021 (6М),Q3 2021 (9М),Q4 2021 (12М),Q1 2022 (3М),Q2 2022 (6М),Q3 2022 (9М),Q4 2022 (12М),Q1 2023 (3М),Q2 2023 (6М),Q3 2023 (9М),Q4 2023 (12М),Q1 2024 (3М),Q2 2024 (6М),Q3 2024 (9М),Q4 2024 (12М),Q1 2025 (3М),Q2 2025 (6М),Q3 2025 (9М),Q4 2025 (12М)
Приходи и разходи,Приходи от продажби,14993,28329,38521,59503,17150,35753,57829,93234,27608,54785,86324,146542,40164,81656,127038,208704,51759,105550,170036,292869
Приходи и разходи,Себестойност на продажбите,,-13922,-18444,-28566,-7883,-18511,-28901,-46448,-12641,-24199,-36957,-62852,-17860,-36661,-54271,-84277,-24456,-46650,-72092,-123715
Приходи и разходи,Брутна печалба,,14407,20077,30937,9267,17242,28928,46786,14967,30586,49367,83690,22304,44995,72767,124427,27303,58900,97944,169154
Приходи и разходи,Други приходи от дейността,,451,555,1250,441,1600,2718,860,41,141,871,936,268,567,790,4702,1112,3787,5490,6790
Приходи и разходи,Разходи за продажби,,-85,-1830,-567,-733,-1101,-2078,-3900,-734,-2740,-3624,-10172,-3107,-7849,-18708,-36068,-2970,-11816,-20114,-40325
Приходи и разходи,Административни разходи,,-6672,-7368,-11595,-4289,-8966,-13962,-20505,-6829,-14014,-22857,-27347,-8247,-15984,-23657,-39718,-10392,-19188,-31543,-60995
Приходи и разходи,Други разходи за дейността,,-253,-221,-2023,-107,-1202,-1829,-2849,-221,-350,-527,-6462,-757,-623,-1170,-3074,-2027,-7865,-8945,-15285
Приходи и разходи,Печалба от оперативна дейност (EBIT),4584,7848,11213,18002,4579,7573,13777,20392,7224,13623,23230,37382,10461,21106,30022,50269,13026,23818,42832,59339
Приходи и разходи,Финансови приходи,0,0,250,495,0,0,0,0,0,10,61,181,3,11,15,20,7,158,283,1565
Приходи и разходи,Финансови разходи,0,-36,-104,-221,-87,-151,-236,-279,-241,-307,-58,-113,-13,-28,-593,-139,-240,-668,-817,-3854
Приходи и разходи,Дял от печалбата на асоциирани дружества,0,0,0,32,6,38,48,118,34,50,58,49,5,-3,-2,-25,-8,-18,-32,-42
Приходи и разходи,Печалба преди данъци (EBT),4584,7812,11359,18308,4498,7460,13589,20231,7017,13376,23291,37499,10456,21087,29442,50126,12785,23290,42266,57008
Приходи и разходи,Разход за данъци,-536,-957,-1313,-2760,-589,-1122,-1842,-2797,-1095,-1949,-3840,-4579,-1550,-2985,-3746,-6261,-1777,-3359,-6026,-7178
Приходи и разходи,Нетна печалба от продължаващи дейности,4048,7417,10046,15548,3909,6338,11747,17434,5922,11427,19451,32920,8906,18057,25696,43865,11008,19931,36240,49830
