раздел,счетоводен_ред,Q1 2024 (3М),Q2 2024 (6М),Q3 2024 (9М),Q4 2024 (12М)
Приходи и разходи,Приходи от продажби,40164,81656,127038,208704
Приходи и разходи,Себестойност на продажбите,-17860,-36661,-54271,-84277
Приходи и разходи,Брутна печалба,22304,44995,72767,124427
Приходи и разходи,Други приходи от дейността,268,567,790,4702
Приходи и разходи,Разходи за продажби,-3107,-7849,-18708,-36068
Приходи и разходи,Административни разходи,-8247,-15984,-23657,-39718
Приходи и разходи,Други разходи за дейността,-757,-623,-1170,-3074
Приходи и разходи,Печалба от оперативна дейност (EBIT),10461,21106,30022,50269
Приходи и разходи,Финансови приходи,3,11,15,20
Приходи и разходи,Финансови разходи,-13,-28,-593,-139
Приходи и разходи,Дял от печалбата на асоциирани дружества,5,-3,-2,-25
Приходи и разходи,Печалба преди данъци (EBT),10456,21087,29442,50126
Приходи и разходи,Разход за данъци,-1550,-2985,-3746,-6261
Приходи и разходи,Нетна печалба от продължаващи дейности,8906,18057,25696,43865
Приходи и разходи,Печалба от преустановени дейности,0,45,1242,1242
Приходи и разходи,Нетна печалба,8906,18102,26938,45107
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,-88,-24,-28,-1138
Приходи и разходи,Общо всеобхватен доход,8818,18078,26910,43969
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",0.49,1.0,1.49,2.49
Активи,"Имоти, машини и съоръжения",5388,1056,1478,2196
Активи,Нематериални активи,8008,8463,9977,13358
Активи,Активи с право на ползване,513,372,468,10703
Активи,Репутация,3514,4094,4094,3638
Активи,Инвестиции в асоциирани дружества,408,182,182,160
Активи,Активи по отсрочени данъци,926,910,910,973
Активи,Общо нетекущи активи,19784,16104,18136,31028
Активи,Материални запаси,21141,26385,43124,45558
Активи,Търговски вземания,57969,61829,54030,68140
Активи,Други вземания,3000,6736,10179,10989
Активи,Пари и парични еквиваленти,29224,20558,22261,27353
Активи,Общо текущи активи,111886,115508,129594,152040
Активи,ОБЩО АКТИВИ,131670,137362,147730,183068
Пасиви,Задължения по лизинг (дългосрочни),225,210,228,9600
Пасиви,Дългосрочни задължения към персонала,271,271,271,327
Пасиви,Общо нетекущи пасиви,1447,1346,499,9927
Пасиви,Банкови заеми,699,798,724,1586
Пасиви,Задължения по лизинг (краткосрочни),378,175,268,1333
Пасиви,Търговски задължения,3931,3721,6801,7979
Пасиви,Задължения към персонала и осигуряването,1601,1521,1152,2367
Пасиви,Други задължения,6340,7605,7176,10841
Пасиви,Общо текущи пасиви,12949,13820,16121,24106
Пасиви,ОБЩО ПАСИВИ,14396,15415,16620,34033
Собствен капитал,Регистриран акционерен капитал,18051,18106,18106,18106
Собствен капитал,Неразпределена печалба,90430,96737,105642,123701
Собствен капитал,Законови резерви,3072,1930,1930,1929
Собствен капитал,Премиен резерв,5403,5403,5403,5403
Собствен капитал,Валутно-курсови разлики,865,312,669,514
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,117274,121947,131110,149035
Парични потоци,Постъпления от клиенти,35097,69397,112731,167039
Парични потоци,Плащания към доставчици,-29036,-56962,-93669,-132795
Парични потоци,"Данъци възстановени/(платени), нето",343,-955,-2333,-2105
Парични потоци,Плащания към персонал и осигуряване,-5820,-10556,-15681,-21110
Парични потоци,Нетни парични потоци от оперативна дейност,403,-1447,-2719,5427
Парични потоци,Капиталови разходи (CAPEX),-790,-1596,-3768,-7791
Парични потоци,Нетни парични потоци от инвестиционна дейност,-1791,-2916,336,-3728
Парични потоци,Изплатени дивиденти,0,-4379,-4590,-4590
Парични потоци,Нетни парични потоци от финансова дейност,-118,-4551,-5785,-5243
Парични потоци,Пари в началото на периода,30778,30778,30778,30778
Парични потоци,Пари в края на периода,29224,20558,22261,27353
