раздел,счетоводен_ред,Q1 2021 (3М),Q2 2021 (6М),Q3 2021 (9М),Q4 2021 (12М),Q1 2022 (3М),Q2 2022 (6М),Q3 2022 (9М),Q4 2022 (12М),Q1 2023 (3М),Q2 2023 (6М),Q3 2023 (9М),Q4 2023 (12М),Q1 2024 (3М),Q2 2024 (6М),Q3 2024 (9М),Q4 2024 (12М),Q1 2025 (3М),Q2 2025 (6М),Q3 2025 (9М),Q4 2025 (12М)
Приходи и разходи,Приходи от продажби,,,,,,,,,,,,,40164,81656,127038,208704,51759,105550,170036,292869
Приходи и разходи,Себестойност на продажбите,,,,,,,,,,,,,-17860,-36661,-54271,-84277,-24456,-46650,-72092,-123715
Приходи и разходи,Брутна печалба,,,,,,,,,,,,,22304,44995,72767,124427,27303,58900,97944,169154
Приходи и разходи,Други приходи от дейността,,,,,,,,,,,,,268,567,790,4702,1112,3787,5490,6790
Приходи и разходи,Разходи за продажби,,,,,,,,,,,,,-3107,-7849,-18708,-36068,-2970,-11816,-20114,-40325
Приходи и разходи,Административни разходи,,,,,,,,,,,,,-8247,-15984,-23657,-39718,-10392,-19188,-31543,-60995
Приходи и разходи,Други разходи за дейността,,,,,,,,,,,,,-757,-623,-1170,-3074,-2027,-7865,-8945,-15285
Приходи и разходи,Печалба от оперативна дейност (EBIT),,,,,,,,,,,,,10461,21106,30022,50269,13026,23818,42832,59339
Приходи и разходи,Финансови приходи,,,,,,,,,,,,,3,11,15,20,7,158,283,1565
Приходи и разходи,Финансови разходи,,,,,,,,,,,,,-13,-28,-593,-139,-240,-668,-817,-3854
Приходи и разходи,Дял от печалбата на асоциирани дружества,,,,,,,,,,,,,5,-3,-2,-25,-8,-18,-32,-42
Приходи и разходи,Печалба преди данъци (EBT),,,,,,,,,,,,,10456,21087,29442,50126,12785,23290,42266,57008
Приходи и разходи,Разход за данъци,,,,,,,,,,,,,-1550,-2985,-3746,-6261,-1777,-3359,-6026,-7178
Приходи и разходи,Нетна печалба от продължаващи дейности,,,,,,,,,,,,,8906,18057,25696,43865,11008,19931,36240,49830
Приходи и разходи,Печалба от преустановени дейности,,,,,,,,,,,,,0,45,1242,1242,0,0,0,0
Приходи и разходи,Нетна печалба,,,,,,,,,,,,,8906,18102,26938,45107,11008,19931,36240,49830
