раздел,счетоводен_ред,2022,2023,2024,2025,2026
Приходи и разходи,Приходи от продажби,179208,513387,662334,934767,
Приходи и разходи,Себестойност на продажбите,-106377,-234344,-307310,-441183,
Приходи и разходи,Брутна печалба,72831,279043,355024,493584,
Приходи и разходи,Други приходи от дейността,,96566,114094,148266,
Приходи и разходи,Разходи за продажби,-14652,-87463,-83121,-113465,
Приходи и разходи,Административни разходи,-24129,-163979,-176070,-199965,
Приходи и разходи,Други разходи за дейността,,-64647,-75409,-98694,
Приходи и разходи,Печалба от оперативна дейност (EBIT),26050,59520,134518,229727,
Приходи и разходи,Финансови приходи,150,0,0,59,
Приходи и разходи,Финансови разходи,-1313,-2126,-2200,-1874,
Приходи и разходи,Дял от печалбата на асоциирани дружества,,0,0,0,
Приходи и разходи,Печалба преди данъци (EBT),24887,57394,132318,227912,
Приходи и разходи,Разход за данъци,-5579,-12435,-27654,-47669,
Приходи и разходи,Нетна печалба от продължаващи дейности,,44959,104664,180243,
Приходи и разходи,Печалба от преустановени дейности,,0,0,0,
Приходи и разходи,Нетна печалба,19308,44959,104664,180243,
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,,-414,-343,-1808,
Приходи и разходи,Общо всеобхватен доход,,44545,104321,178435,
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",1.8,4.11,9.36,16.12,
Активи,"Имоти, машини и съоръжения",,33599,36213,42998,
Активи,Нематериални активи,,218497,269262,323642,
Активи,Активи с право на ползване,,52582,42118,97289,
Активи,Репутация,,0,0,0,
Активи,Инвестиции в асоциирани дружества,,0,0,0,
Активи,Активи по отсрочени данъци,,0,0,0,
Активи,Общо нетекущи активи,24675,306075,349742,467295,
Активи,Материални запаси,15590,159106,164931,237184,
Активи,Търговски вземания,31515,137371,183955,257995,
Активи,Други вземания,1650,,,,
Активи,Пари и парични еквиваленти,10730,21365,43825,92303,
Активи,Общо текущи активи,63590,317842,392711,587483,
Активи,ОБЩО АКТИВИ,88265,623917,742454,1054778,
Пасиви,Задължения по лизинг (дългосрочни),4475,28867,15823,60525,
Пасиви,Дългосрочни задължения към персонала,,,,,
Пасиви,Общо нетекущи пасиви,4475,28867,15823,60525,
Пасиви,Банкови заеми,300,,,,
Пасиви,Задължения по лизинг (краткосрочни),,,,,
Пасиви,Търговски задължения,12075,,,,
Пасиви,Задължения към персонала и осигуряването,,,,,
Пасиви,Други задължения,4605,,,,
Пасиви,Общо текущи пасиви,16680,150033,177367,266562,
Пасиви,ОБЩО ПАСИВИ,21155,178900,193190,327087,
Собствен капитал,Регистриран акционерен капитал,5978,1677,1677,1677,
Собствен капитал,Неразпределена печалба,61132,,251283,431527,
Собствен капитал,Законови резерви,,,,,
Собствен капитал,Премиен резерв,,,,,
Собствен капитал,Валутно-курсови разлики,,,,,
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,67110,445017,549264,727691,
Парични потоци,Постъпления от клиенти,,,,,
Парични потоци,Плащания към доставчици,,,,,
Парични потоци,"Данъци възстановени/(платени), нето",,,,,
Парични потоци,Плащания към персонал и осигуряване,,,,,
Парични потоци,Нетни парични потоци от оперативна дейност,28900,51478,145014,200345,
Парични потоци,Капиталови разходи (CAPEX),-4900,-93929,-97338,-120175,
Парични потоци,Нетни парични потоци от инвестиционна дейност,-4900,-93439,-97830,-120529,
Парични потоци,Изплатени дивиденти,-3000,0,0,0,
Парични потоци,Нетни парични потоци от финансова дейност,-18485,20063,-23286,-28503,
Парични потоци,Пари в началото на периода,5215,43012,21365,43825,
Парични потоци,Пари в края на периода,10730,21365,43825,92303,
