раздел,счетоводен_ред,Q1 2026 (3М),Q2 2026 (6М),Q3 2026 (9М),Q4 2026 (12М)
Приходи и разходи,Приходи от продажби,307876,,,
Приходи и разходи,Себестойност на продажбите,-136062,,,
Приходи и разходи,Брутна печалба,171814,,,
Приходи и разходи,Други приходи от дейността,56296,,,
Приходи и разходи,Разходи за продажби,-37779,,,
Приходи и разходи,Административни разходи,-55107,,,
Приходи и разходи,Други разходи за дейността,-28456,,,
Приходи и разходи,Печалба от оперативна дейност (EBIT),106767,,,
Приходи и разходи,Финансови приходи,289,,,
Приходи и разходи,Финансови разходи,-919,,,
Приходи и разходи,Дял от печалбата на асоциирани дружества,0,,,
Приходи и разходи,Печалба преди данъци (EBT),106136,,,
Приходи и разходи,Разход за данъци,-22230,,,
Приходи и разходи,Нетна печалба от продължаващи дейности,83906,,,
Приходи и разходи,Печалба от преустановени дейности,0,,,
Приходи и разходи,Нетна печалба,83906,,,
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,2980,,,
Приходи и разходи,Общо всеобхватен доход,86886,,,
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",7.51,,,
Активи,"Имоти, машини и съоръжения",46993,,,
Активи,Нематериални активи,336365,,,
Активи,Активи с право на ползване,106150,,,
Активи,Репутация,0,,,
Активи,Инвестиции в асоциирани дружества,0,,,
Активи,Активи по отсрочени данъци,1041,,,
Активи,Общо нетекущи активи,492361,,,
Активи,Материални запаси,241754,,,
Активи,Търговски вземания,280466,,,
Активи,Други вземания,,,,
Активи,Пари и парични еквиваленти,146312,,,
Активи,Общо текущи активи,668531,,,
Активи,ОБЩО АКТИВИ,1160891,,,
Пасиви,Задължения по лизинг (дългосрочни),66777,,,
Пасиви,Дългосрочни задължения към персонала,,,,
Пасиви,Общо нетекущи пасиви,66777,,,
Пасиви,Банкови заеми,,,,
Пасиви,Задължения по лизинг (краткосрочни),,,,
Пасиви,Търговски задължения,,,,
Пасиви,Задължения към персонала и осигуряването,,,,
Пасиви,Други задължения,,,,
Пасиви,Общо текущи пасиви,279545,,,
Пасиви,ОБЩО ПАСИВИ,346322,,,
Собствен капитал,Регистриран акционерен капитал,1677,,,
Собствен капитал,Неразпределена печалба,515433,,,
Собствен капитал,Законови резерви,,,,
Собствен капитал,Премиен резерв,,,,
Собствен капитал,Валутно-курсови разлики,,,,
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,814569,,,
Парични потоци,Постъпления от клиенти,,,,
Парични потоци,Плащания към доставчици,,,,
Парични потоци,"Данъци възстановени/(платени), нето",,,,
Парични потоци,Плащания към персонал и осигуряване,,,,
Парични потоци,Нетни парични потоци от оперативна дейност,93689,,,
Парични потоци,Капиталови разходи (CAPEX),-33302,,,
Парични потоци,Нетни парични потоци от инвестиционна дейност,-33302,,,
Парични потоци,Изплатени дивиденти,0,,,
Парични потоци,Нетни парични потоци от финансова дейност,-8670,,,
Парични потоци,Пари в началото на периода,92303,,,
Парични потоци,Пари в края на периода,146312,,,
