раздел,счетоводен_ред,2021,2022,2023,2024,2025
Приходи и разходи,Приходи от продажби,59503,93234,146542,208704,292869
Приходи и разходи,Себестойност на продажбите,-28566,-46448,-62852,-84277,-123715
Приходи и разходи,Брутна печалба,30937,46786,83690,124427,169154
Приходи и разходи,Други приходи от дейността,1250,860,936,4702,6790
Приходи и разходи,Разходи за продажби,-567,-3900,-10172,-36068,-40325
Приходи и разходи,Административни разходи,-11595,-20505,-27347,-39718,-60995
Приходи и разходи,Други разходи за дейността,-2023,-2849,-6462,-3074,-15285
Приходи и разходи,Печалба от оперативна дейност (EBIT),18002,20392,37382,50269,59339
Приходи и разходи,Финансови приходи,495,0,181,20,1565
Приходи и разходи,Финансови разходи,-221,-279,-113,-139,-3854
Приходи и разходи,Дял от печалбата на асоциирани дружества,32,118,49,-25,-42
Приходи и разходи,Печалба преди данъци (EBT),18308,20231,37499,50126,57008
Приходи и разходи,Разход за данъци,-2760,-2797,-4579,-6261,-7178
Приходи и разходи,Нетна печалба от продължаващи дейности,15548,17434,32920,43865,49830
Приходи и разходи,Печалба от преустановени дейности,0,0,0,1242,0
Приходи и разходи,Нетна печалба,15548,17434,32920,45107,49830
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,-3614,-1184,1009,-1138,14207
Приходи и разходи,Общо всеобхватен доход,11934,16250,33929,43969,64037
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",0.864,0.97,1.83,2.49,2.75
Активи,"Имоти, машини и съоръжения",4802,4653,5373,2196,2231
Активи,Нематериални активи,3110,4220,7547,13358,19304
Активи,Активи с право на ползване,107,296,422,10703,9992
Активи,Репутация,160,160,3514,3638,3638
Активи,Инвестиции в асоциирани дружества,40,157,403,160,118
Активи,Активи по отсрочени данъци,72,292,917,973,211
Активи,Общо нетекущи активи,12969,11635,19203,31028,35494
Активи,Материални запаси,6656,23002,18273,45558,38078
Активи,Търговски вземания,21204,21647,51620,68140,153861
Активи,Други вземания,2068,3622,7258,10989,9804
Активи,Пари и парични еквиваленти,30540,28152,30778,27353,26766
Активи,Общо текущи активи,60702,77110,108479,152040,228509
Активи,ОБЩО АКТИВИ,73671,88745,127682,183068,264003
Пасиви,Задължения по лизинг (дългосрочни),100,157,369,9600,8833
Пасиви,Дългосрочни задължения към персонала,,112,270,327,489
Пасиви,Общо нетекущи пасиви,2107,1757,1658,9927,9322
Пасиви,Банкови заеми,571,668,670,1586,6593
Пасиви,Задължения по лизинг (краткосрочни),39,161,216,1333,1856
Пасиви,Търговски задължения,1314,1891,4118,7979,16875
Пасиви,Задължения към персонала и осигуряването,289,2045,2311,2367,4312
Пасиви,Други задължения,1073,1133,9099,10841,16907
Пасиви,Общо текущи пасиви,4662,7972,16414,24106,46543
Пасиви,ОБЩО ПАСИВИ,6769,9729,18072,34033,55865
Собствен капитал,Регистриран акционерен капитал,18000,18000,18051,18106,18158
Собствен капитал,Неразпределена печалба,39117,54958,83137,123701,168056
Собствен капитал,Законови резерви,1800,1800,2804,1929,1909
Собствен капитал,Премиен резерв,5403,5403,5403,5403,5403
Собствен капитал,Валутно-курсови разлики,-41,-563,988,514,1812
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,66902,79016,109610,149035,208138
Парични потоци,Постъпления от клиенти,57364,83914,116214,167039,217858
Парични потоци,Плащания към доставчици,-36973,-65109,-75912,-132795,-187323
Парични потоци,"Данъци възстановени/(платени), нето",-3218,-4702,-2345,-2105,16468
Парични потоци,Плащания към персонал и осигуряване,-6972,-10875,-17219,-21110,-26857
Парични потоци,Нетни парични потоци от оперативна дейност,8124,195,15024,5427,10384
Парични потоци,Капиталови разходи (CAPEX),-1583,-2176,-4765,-7791,-8601
Парични потоци,Нетни парични потоци от инвестиционна дейност,497,492,-8066,-3728,-7306
Парични потоци,Изплатени дивиденти,-3436,-1719,-4500,-4590,-4603
Парични потоци,Нетни парични потоци от финансова дейност,-4131,-3246,-4216,-5243,-1714
Парични потоци,Пари в началото на периода,26050,30541,28148,30778,27353
Парични потоци,Пари в края на периода,30540,28152,30778,27353,26766
