раздел,счетоводен_ред,Q1 2025 (3М),Q2 2025 (6М),Q3 2025 (9М),Q4 2025 (12М)
Приходи и разходи,Приходи от продажби,51759,105550,170036,292869
Приходи и разходи,Себестойност на продажбите,-24456,-46650,-72092,-123715
Приходи и разходи,Брутна печалба,27303,58900,97944,169154
Приходи и разходи,Други приходи от дейността,1112,3787,5490,6790
Приходи и разходи,Разходи за продажби,-2970,-11816,-20114,-40325
Приходи и разходи,Административни разходи,-10392,-19188,-31543,-60995
Приходи и разходи,Други разходи за дейността,-2027,-7865,-8945,-15285
Приходи и разходи,Печалба от оперативна дейност (EBIT),13026,23818,42832,59339
Приходи и разходи,Финансови приходи,7,158,283,1565
Приходи и разходи,Финансови разходи,-240,-668,-817,-3854
Приходи и разходи,Дял от печалбата на асоциирани дружества,-8,-18,-32,-42
Приходи и разходи,Печалба преди данъци (EBT),12785,23290,42266,57008
Приходи и разходи,Разход за данъци,-1777,-3359,-6026,-7178
Приходи и разходи,Нетна печалба от продължаващи дейности,11008,19931,36240,49830
Приходи и разходи,Печалба от преустановени дейности,0,0,0,0
Приходи и разходи,Нетна печалба,11008,19931,36240,49830
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,317,1007,1184,14207
Приходи и разходи,Общо всеобхватен доход,11325,20938,37424,64037
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",0.61,1.1,2.0,2.75
Активи,"Имоти, машини и съоръжения",2169,2221,2341,2231
Активи,Нематериални активи,14126,16088,17737,19304
Активи,Активи с право на ползване,10594,10461,10141,9992
Активи,Репутация,3638,3638,3638,3638
Активи,Инвестиции в асоциирани дружества,152,142,128,118
Активи,Активи по отсрочени данъци,303,303,303,211
Активи,Общо нетекущи активи,30982,32853,34288,35494
Активи,Материални запаси,31489,39860,55017,38078
Активи,Търговски вземания,86036,85851,91268,153861
Активи,Други вземания,4404,8833,9588,9804
Активи,Пари и парични еквиваленти,32712,36370,30791,26766
Активи,Общо текущи активи,154641,170914,186664,228509
Активи,ОБЩО АКТИВИ,185623,203767,220952,264003
Пасиви,Задължения по лизинг (дългосрочни),9304,9179,8968,8833
Пасиви,Дългосрочни задължения към персонала,327,327,327,489
Пасиви,Общо нетекущи пасиви,9631,9506,9295,9322
Пасиви,Банкови заеми,166,3652,3032,6593
Пасиви,Задължения по лизинг (краткосрочни),1558,1566,1856,1856
Пасиви,Търговски задължения,4349,8574,12447,16875
Пасиви,Задължения към персонала и осигуряването,2029,2277,2349,4312
Пасиви,Други задължения,7894,13180,10422,16907
Пасиви,Общо текущи пасиви,15996,29249,30106,46543
Пасиви,ОБЩО ПАСИВИ,25627,38755,39401,55865
Собствен капитал,Регистриран акционерен капитал,18106,18106,18158,18158
Собствен капитал,Неразпределена печалба,134386,138398,154645,168056
Собствен капитал,Законови резерви,1929,1934,1934,1909
Собствен капитал,Премиен резерв,5403,5403,5403,5403
Собствен капитал,Валутно-курсови разлики,839,1556,1731,1812
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,159996,165012,181551,208138
Парични потоци,Постъпления от клиенти,45361,91473,153283,217858
Парични потоци,Плащания към доставчици,-36463,-72883,-124579,-187323
Парични потоци,"Данъци възстановени/(платени), нето",4704,6329,8212,16468
Парични потоци,Плащания към персонал и осигуряване,-5427,-12723,-19592,-26857
Парични потоци,Нетни парични потоци от оперативна дейност,8072,12095,13496,10384
Парични потоци,Капиталови разходи (CAPEX),-1348,-4129,-6046,-8601
Парични потоци,Нетни парични потоци от инвестиционна дейност,-1066,-3877,-5073,-7306
Парични потоци,Изплатени дивиденти,0,0,-4603,-4603
Парични потоци,Нетни парични потоци от финансова дейност,-1228,1407,-4523,-1714
Парични потоци,Пари в началото на периода,27353,27353,27353,27353
Парични потоци,Пари в края на периода,32712,36370,30791,26766
